u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
95663467,95663392,3ης Σεπτεμβρίου,primary,True,93.795,3,,,,,,,,,50
95663472,635132981,Αχαρνών,primary,True,55.606,2,,,,,,,,,51
95663474,962356740,Λιοσίων,primary,True,82.191,2,,,,,,,,,52
95663474,95663499,Μάγερ,tertiary,True,34.235,1,,,,,,,,,53
95663490,8212395769,Λιοσίων,secondary,False,6.932,2,,,,30.0,,,,,54
95663490,97834829,Λιοσίων,secondary,True,10.91,2,,,,30.0,,,,,55
95663492,95663376,Μενάνδρου,tertiary,True,63.0,1,,,,,,,,,56
95663492,95663418,Χαλκοκονδύλη,secondary,True,32.065,1,,,,,,,,,57
95663493,844627879,Κουμουνδούρου,residential,True,25.07,1,,,,,,,,,58
95663493,95663375,Βερανζέρου,residential,True,23.688,,,,,,,,,,59
95663499,97834765,Βατσαξή,residential,False,75.731,,,,,,,,,,60
95663499,95663501,Μάγερ,tertiary,True,50.631,1,,,,,,,,,61
95663501,95663524,Μαιζώνος,residential,True,60.907,,,,,,,,,,62
95663501,95663502,Μάγερ,tertiary,True,70.588,1,,,,,,,,,63
95663502,95663504,Μάγερ,tertiary,True,63.257,1,,,,,,,,,64
95663502,95663418,Φαβιέρου,residential,True,56.915,1,,,,,,,,,65
95663504,95663374,Βίκτωρος Ουγκώ,residential,True,129.256,,,,,,,,,,66
95663504,6693568141,Μάγερ,tertiary,True,19.882,1,,,,,,,,,67
95663524,633562897,Μαιζώνος,residential,True,48.616,,,,,,,,,,68
95663524,98303817,Σωνιέρου,residential,True,69.556,,,,,,,,,,69
95663527,95663492,Μενάνδρου,tertiary,True,34.248,1,,,,,,,,,70
95663527,95663418,Μάρνη,secondary,False,46.646,4,,,,,,,,,71
95663527,8253823131,Μάρνη,secondary,False,25.402,4,,,,,,,,,72
95663631,95663394,3ης Σεπτεμβρίου,secondary,True,74.21900000000001,2,,,,,,,,,73
97788192,6356544246,Σολωμού,residential,True,80.867,,,,,,,,,,74
97788192,516020524,Πατησίων,primary,True,62.943,3,,ΕΟ1,,,,,,,75
97788195,97788202,Πατησίων,primary,True,233.62100000000004,2,,,,,,,,,76
97788195,97788192,Πατησίων,primary,True,59.79,3,,ΕΟ1,,,,,,,77
97788195,95663467,Στουρνάρη,secondary,True,118.364,2,,,,,,,,,78
97788202,97788210,Πατησίων,primary,True,40.033,2,,,,,,,,,79
97788210,97797184,Βασιλέως Ηρακλείου,secondary,True,83.804,1,,,,,,,,,80
97788210,97797102,Πατησίων,primary,True,99.697,2,,ΕΟ1,,,,,,,81
97788213,95663402,Αβέρωφ,tertiary,True,86.738,2,,,,,,,,,82
97788213,97788195,Πατησίων,primary,True,125.28699999999998,2,,ΕΟ1,,,,,,,83
97788216,97788210,Βασιλέως Ηρακλείου,secondary,True,12.209,1,,,,,,,,,84
97788216,597677303,Πατησίων,primary,True,52.36000000000001,2,,ΕΟ1,,,,,,,85
97788219,97788769,Δεληγιάννη,residential,True,55.343,,,,,,,,,,86
97788219,97797051,Μπουμπουλίνας,tertiary,True,100.114,,,,,,,,,,87
97788471,358465939,Ιουλιανού,secondary,True,69.58,2,,,,,,,,,88
97788471,358465410,3ης Σεπτεμβρίου,secondary,True,85.994,2,,,,,,,,,89
97788477,97788471,Ιουλιανού,secondary,True,115.394,2,,,,,,,,,90
97788477,97788216,Πατησίων,primary,True,153.262,2,,ΕΟ1,,,,,,,91
97788586,6356544246,Κάνιγγος,residential,True,60.25,,,,,,,,,,92
97788586,97788195,Στουρνάρη,tertiary,True,81.75699999999999,1,,,,,,,,,93
97788594,516020524,Καποδιστρίου,secondary,True,79.96799999999999,2,,,,,,,,,94
97788594,3731648988,Κάνιγγος,residential,True,58.457,,,,,,,,,,95
97788686,663798587,Τζωρτζ,residential,True,55.179,,,,,,,,,,96
97788686,97788594,Καποδιστρίου,secondary,True,77.17399999999999,2,,,,,,,,,97
97788769,97788848,Δεληγιάννη,residential,True,41.749,,,,,,,,,,98
97788848,97797086,Νοταρά,residential,True,98.945,,,,,,,,,,99
97788848,97788855,Δεληγιάννη,residential,True,41.265,,,,,,,,,,100
97788855,97792969,Δεληγιάννη,residential,True,38.275,,,,,,,,,,101
97792969,97792973,Δεληγιάννη,residential,True,32.766,,,,,,,,,,102
97792969,1303525204,Τσαμαδού,residential,True,50.101,,,,,,,,,,103
97792973,359096435,Καλλιδρομίου,residential,False,11.503,,,,,,,,,,104
97797051,97797090,Μετσόβου,residential,True,46.48,,,,,,,,,,105
97797051,358464166,Μπουμπουλίνας,tertiary,True,53.082,,,,,,,,,,106
97797081,97788769,Ζαΐμη,residential,True,99.442,,,,,,,,,,107
97797081,97797051,Μετσόβου,residential,True,54.746,,,,,,,,,,108
97797086,97797081,Μετσόβου,residential,True,43.296,,,,,,,,,,109
97797086,358464018,Νοταρά,residential,True,100.692,,,,,,,,,,110
97797090,97797197,Σαριπόλου,residential,True,97.383,,,,,,,,,,111
97797090,97797093,Μετσόβου,residential,True,46.327,,,,,,,,,,112
97797093,97797186,Ρεθύμνου,residential,True,50.819,,,,,,,,,,113
97797093,97797098,Μετσόβου,residential,True,65.672,,,,,,,,,,114
97797098,97797102,Μετσόβου,residential,True,83.147,,,,,,,,,,115
97797098,358464213,Μαυροματαίων,secondary,True,53.54,1,,,,,,,,,116
97797102,515962403,Πατησίων,primary,True,53.781000000000006,2,,ΕΟ1,,,,,,,117
97797184,97797196,Μαυροματαίων,secondary,True,47.081,1,,,,,,,,,118
97797184,97797191,Βασιλέως Ηρακλείου,tertiary,True,65.22200000000001,,,,,,,,,,119
97797186,97797196,Κυβέλης,residential,False,65.439,,,,,,,,,,120
97797186,97797191,Ρεθύμνου,residential,True,47.112,,,,,,,,,,121
97797191,97797197,Βασιλέως Ηρακλείου,tertiary,True,46.575,,,,,,,,,,122
97797196,97797186,Κυβέλης,residential,False,65.439,,,,,,,,,,123
97797196,97797098,Μαυροματαίων,secondary,True,51.623,1,,,,,,,,,124
97797197,97788219,Βασιλέως Ηρακλείου,tertiary,True,47.159,,,,,,,,,,125
