osmid	y	x
633562902	37.9869554	23.7229805
635122963	37.9926739	23.7301271
635122964	37.9924741	23.7314192
635122988	37.9927852	23.7301518
635126478	37.9912319	23.7289639
635126483	37.9911613	23.729754
635132981	37.9885834	23.7267009
635132991	37.9886266	23.726401
635138660	37.9852643	23.724206
635442926	37.9896917	23.7356693
653971685	37.9792474	23.7354357
653971690	37.9799327	23.7348434
663798587	37.9856916	23.7316134
688786344	37.9870356	23.7269458
807999510	37.9784184	23.7322178
844627879	37.9862947	23.7252346
954712407	37.9761678	23.7360978
954712428	37.9758298	23.7357623
961484809	37.9920319	23.7320958
961530639	37.9891989	23.7306058
961530806	37.9892924	23.7303329
962356608	37.9865524	23.7271435
962356657	37.9872173	23.7267556
962356671	37.9863805	23.7269891
962356674	37.9880446	23.7282268
962356679	37.986675	23.7286444
962356738	37.9872972	23.72701
962356740	37.9873279	23.7265063
962356785	37.987173	23.7268008
962356840	37.9878474	23.7282446
962356923	37.9871311	23.7267319
1003481221	37.9830717	23.725807
1303525204	37.9896263	23.7357192
2511789008	37.9761034	23.7357956
2878357812	37.9919489	23.7324856
3339821648	37.9768844	23.7358882
3731648988	37.9858092	23.7307639
3879024939	37.9874638	23.7272465
3879024943	37.9874066	23.7271499
4056070360	37.9915948	23.7319461
4464395361	37.9847125	23.73366
5581434215	37.9917038	23.7312294
5581434217	37.9917942	23.7314073
5921003579	37.9916806	23.731379
6220792258	37.9759741	23.7376179
6220792260	37.9772926	23.7378391
6356544246	37.986877	23.7310243
6376633339	37.9805914	23.7301146
6693568141	37.9859706	23.7246801
6693647611	37.9820107	23.7289059
6910572379	37.9918191	23.7312574
6943632782	37.9921449	23.7314861
7127124359	37.9783174	23.7320061
7214467394	37.9834244	23.7266101
7248584892	37.9875243	23.7236788
7384331753	37.9760329	23.7356402
8207556731	37.992112	23.7314787
8212395769	37.9888743	23.7250288
8212395770	37.988863	23.7250927
8253823131	37.9869547	23.7263633
8446047162	37.9820951	23.735425
10134034285	37.9825191	23.7350832
10134034290	37.9808197	23.7364526
10134034294	37.9800974	23.7370345
10174555843	37.9802494	23.735395
11256819882	37.9848608	23.7261732
11256819883	37.9849398	23.7256652
11271557478	37.9801786	23.7352717
