episode,step,state,action,next_state,reward,trajectory
5,,,,,,"[{'state': 390, 'action': 0}, {'state': 344, 'action': 0}, {'state': 168, 'action': 1}, {'state': 374, 'action': 1}, {'state': 156, 'action': 0}, {'state': 157, 'action': 0}, {'state': 176, 'action': 0}, {'state': 177, 'action': 0}, {'state': 189, 'action': 1}, {'state': 190, 'action': 0}, {'state': 211, 'action': 1}, {'state': 202, 'action': 0}, {'state': 235, 'action': 1}, {'state': 245, 'action': 0}, {'state': 239, 'action': 0}, {'state': 241, 'action': 0}]"
6,1.0,326.0,1.0,280.0,0.7101823091506958,
6,2.0,280.0,0.0,397.0,0.5852345824241638,
6,3.0,397.0,0.0,385.0,0.41458478569984436,
6,4.0,385.0,1.0,91.0,2.537473201751709,
6,5.0,91.0,0.0,85.0,0.5758642554283142,
6,6.0,85.0,1.0,314.0,0.45744001865386963,
6,7.0,314.0,0.0,347.0,0.5999128818511963,
6,8.0,347.0,1.0,83.0,0.7580003142356873,
6,9.0,83.0,2.0,77.0,0.8532823324203491,
6,10.0,77.0,0.0,75.0,0.6035715341567993,
6,11.0,75.0,1.0,310.0,0.4270664155483246,
6,12.0,310.0,1.0,236.0,0.38299688696861267,
6,13.0,236.0,1.0,376.0,0.6878324747085571,
6,14.0,376.0,0.0,231.0,0.585334300994873,
6,15.0,231.0,1.0,198.0,0.6244669556617737,
6,16.0,198.0,1.0,196.0,0.7209144830703735,
6,17.0,196.0,1.0,195.0,0.658509373664856,
6,18.0,195.0,1.0,180.0,0.6522194743156433,
6,19.0,180.0,1.0,315.0,0.7682039737701416,
6,20.0,315.0,1.0,185.0,0.613490104675293,
6,21.0,185.0,1.0,179.0,0.7946415543556213,
6,22.0,179.0,2.0,418.0,0.8626130819320679,
6,23.0,418.0,1.0,251.0,0.7991757392883301,
6,24.0,251.0,1.0,164.0,0.6952966451644897,
6,25.0,164.0,1.0,174.0,0.7604460120201111,
6,26.0,174.0,0.0,159.0,0.8030914068222046,
6,27.0,159.0,0.0,167.0,0.7806990742683411,
6,28.0,167.0,1.0,166.0,0.8431938886642456,
6,29.0,166.0,0.0,392.0,0.6644602417945862,
6,,,,,,"[{'state': 326, 'action': 1}, {'state': 280, 'action': 0}, {'state': 397, 'action': 0}, {'state': 385, 'action': 1}, {'state': 91, 'action': 0}, {'state': 85, 'action': 1}, {'state': 314, 'action': 0}, {'state': 347, 'action': 1}, {'state': 83, 'action': 2}, {'state': 77, 'action': 0}, {'state': 75, 'action': 1}, {'state': 310, 'action': 1}, {'state': 236, 'action': 1}, {'state': 376, 'action': 0}, {'state': 231, 'action': 1}, {'state': 198, 'action': 1}, {'state': 196, 'action': 1}, {'state': 195, 'action': 1}, {'state': 180, 'action': 1}, {'state': 315, 'action': 1}, {'state': 185, 'action': 1}, {'state': 179, 'action': 2}, {'state': 418, 'action': 1}, {'state': 251, 'action': 1}, {'state': 164, 'action': 1}, {'state': 174, 'action': 0}, {'state': 159, 'action': 0}, {'state': 167, 'action': 1}, {'state': 166, 'action': 0}]"
7,1.0,300.0,1.0,198.0,0.5036433935165405,
7,2.0,198.0,1.0,196.0,0.823445737361908,
7,3.0,196.0,1.0,195.0,0.8119878768920898,
7,4.0,195.0,1.0,180.0,0.6648417115211487,
7,5.0,180.0,1.0,315.0,0.9182513356208801,
7,6.0,315.0,1.0,185.0,0.6109310984611511,
7,7.0,185.0,1.0,179.0,0.7401988506317139,
7,8.0,179.0,2.0,418.0,0.6556496024131775,
7,9.0,418.0,1.0,251.0,0.9110270142555237,
7,10.0,251.0,1.0,164.0,0.709401547908783,
7,11.0,164.0,1.0,174.0,0.8964428305625916,
7,12.0,174.0,0.0,159.0,0.7623425722122192,
7,13.0,159.0,0.0,167.0,0.7442817091941833,
7,14.0,167.0,1.0,166.0,0.9727421998977661,
7,15.0,166.0,0.0,392.0,0.7336922287940979,
